Optimal - objective value 1897475675.46661330
   2457 NewCapacity(region,RSPWI30NO0,2033)                                                0.2                      0
   2458 NewCapacity(region,RSPWI30NO0,2034)                                                0.2                      0
   2459 NewCapacity(region,RSPWI30NO0,2035)                                                0.2                      0
   2460 NewCapacity(region,RSPWI30NO0,2036)                                                0.2                      0
   2461 NewCapacity(region,RSPWI30NO0,2037)                                                0.2                      0
   2462 NewCapacity(region,RSPWI30NO0,2038)                                                0.2                      0
   2463 NewCapacity(region,RSPWI30NO0,2039)                                                0.2                      0
   2464 NewCapacity(region,RSPWI30NO0,2040)                                                0.2                      0
   2496 NewCapacity(region,BATELTRDS0,2020)                                          63.409447                      0
   2497 NewCapacity(region,BATELTRDS0,2021)                                        0.033158195                      0
   2498 NewCapacity(region,BATELTRDS0,2022)                                         0.68777845                      0
   2499 NewCapacity(region,BATELTRDS0,2023)                                         0.71069173                      0
   2500 NewCapacity(region,BATELTRDS0,2024)                                         0.71246531                      0
   2501 NewCapacity(region,BATELTRDS0,2025)                                         0.68575993                      0
   2502 NewCapacity(region,BATELTRDS0,2026)                                         0.70317862                      0
   2506 NewCapacity(region,BATELTRDS0,2030)                                           4.026083                      0
   2507 NewCapacity(region,BATELTRDS0,2031)                                          1.5016872                      0
   2508 NewCapacity(region,BATELTRDS0,2032)                                         0.46230133                      0
   2513 NewCapacity(region,BATELTRDS0,2037)                                         0.91255865                      0
   2514 NewCapacity(region,BATELTRDS0,2038)                                         0.89800595                      0
   2515 NewCapacity(region,BATELTRDS0,2039)                                         0.90482316                      0
   2516 NewCapacity(region,BATELTRDS0,2040)                                          0.9823295                      0
   2517 NewCapacity(region,BATELTRDS0,2041)                                         0.89794217                      0
   2518 NewCapacity(region,BATELTRDS0,2042)                                         0.89414136                      0
   2519 NewCapacity(region,BATELTRDS0,2043)                                         0.87980475                      0
   2520 NewCapacity(region,BATELTRDS0,2044)                                         0.88663402                      0
   2521 NewCapacity(region,BATELTRDS0,2045)                                         0.96824338                      0
   2522 NewCapacity(region,XKTRDMEH00,2020)                                               0.44                      0
   2523 NewCapacity(region,XKTRDMEH00,2021)                                               0.44                      0
   2524 NewCapacity(region,XKTRDMEH00,2022)                                               0.44                      0
   2525 NewCapacity(region,XKTRDMEH00,2023)                                               0.44                      0
   2526 NewCapacity(region,XKTRDMEH00,2024)                                               0.44                      0
   2527 NewCapacity(region,XKTRDMEH00,2025)                                               0.44                      0
   2528 NewCapacity(region,XKTRDMEH00,2026)                                               0.44                      0
   2529 NewCapacity(region,XKTRDMEH00,2027)                                               0.44                      0
   2530 NewCapacity(region,XKTRDMEH00,2028)                                               0.44                      0
   2531 NewCapacity(region,XKTRDMEH00,2029)                                               0.44                      0
   2532 NewCapacity(region,XKTRDMEH00,2030)                                               0.44                      0
   2533 NewCapacity(region,XKTRDMEH00,2031)                                               0.44                      0
   2534 NewCapacity(region,XKTRDMEH00,2032)                                               0.44                      0
   2535 NewCapacity(region,XKTRDMEH00,2033)                                               0.44                      0
   2536 NewCapacity(region,XKTRDMEH00,2034)                                               0.44                      0
   2537 NewCapacity(region,XKTRDMEH00,2035)                                               0.44                      0
   2538 NewCapacity(region,XKTRDMEH00,2036)                                               0.44                      0
   2539 NewCapacity(region,XKTRDMEH00,2037)                                               0.44                      0
   2540 NewCapacity(region,XKTRDMEH00,2038)                                               0.44                      0
   2541 NewCapacity(region,XKTRDMEH00,2039)                                               0.44                      0
   2542 NewCapacity(region,XKTRDMEH00,2040)                                               0.44                      0
   2543 NewCapacity(region,XKTRDMEH00,2041)                                               0.44                      0
   2544 NewCapacity(region,XKTRDMEH00,2042)                                               0.44                      0
   2545 NewCapacity(region,XKTRDMEH00,2043)                                               0.44                      0
   2546 NewCapacity(region,XKTRDMEH00,2044)                                               0.44                      0
   2547 NewCapacity(region,XKTRDMEH00,2045)                                               0.44                      0
   2548 NewCapacity(region,XKTRDRSH00,2020)                                               0.68                      0
   2549 NewCapacity(region,XKTRDRSH00,2021)                                               0.68                      0
   2550 NewCapacity(region,XKTRDRSH00,2022)                                               0.68                      0
   2551 NewCapacity(region,XKTRDRSH00,2023)                                               0.68                      0
   2552 NewCapacity(region,XKTRDRSH00,2024)                                               0.68                      0
   2553 NewCapacity(region,XKTRDRSH00,2025)                                               0.68                      0
   2554 NewCapacity(region,XKTRDRSH00,2026)                                               0.68                      0
   2555 NewCapacity(region,XKTRDRSH00,2027)                                               0.68                      0
   2556 NewCapacity(region,XKTRDRSH00,2028)                                               0.68                      0
   2557 NewCapacity(region,XKTRDRSH00,2029)                                               0.68                      0
   2558 NewCapacity(region,XKTRDRSH00,2030)                                               0.68                      0
